iso3,country,year,energy_ej,energy_growth_pct,gdp_growth_pct,gdp_growth_pct_w,energy_growth_pct_w
ARE,United Arab Emirates,1971,0.0526969083584845,52.3907255374544,36.6123778533087,18.1140150454712,25.244314946409
ARE,United Arab Emirates,1972,0.056340541690588,6.91432086929411,39.0796375886666,18.1140150454712,6.91432086929411
ARE,United Arab Emirates,1973,0.0730551993474364,29.6671937388218,76.6201550367608,18.1140150454712,25.244314946409
ARE,United Arab Emirates,1974,0.0802638400346041,9.86738897649808,14.4980412677651,14.4980412677651,9.86738897649808
ARE,United Arab Emirates,1975,0.0858931485563517,7.01350510930032,6.22761090864785,6.22761090864785,7.01350510930032
ARE,United Arab Emirates,1976,0.108684848994017,26.53494582599,16.5266792179265,16.5266792179265,25.244314946409
ARE,United Arab Emirates,1977,0.178673401474953,64.3958685398634,21.4396994717897,18.1140150454712,25.244314946409
ARE,United Arab Emirates,1978,0.20700292289257,15.855477750889,-1.58961937418949,-1.58961937418949,15.855477750889
ARE,United Arab Emirates,1979,0.243217378854752,17.4946592328919,20.9234874935804,18.1140150454712,17.4946592328919
ARE,United Arab Emirates,1980,0.389363095164299,60.088517110788,23.874579387748,18.1140150454712,25.244314946409
ARE,United Arab Emirates,1981,0.453342124819756,16.4317138552793,4.65936415296442,4.65936415296442,16.4317138552793
ARE,United Arab Emirates,1982,0.489477545022964,7.97089399481155,-6.71914478677694,-6.71914478677694,7.97089399481155
ARE,United Arab Emirates,1983,0.46985499560833,-4.00887632418645,-4.74606970328517,-4.74606970328517,-4.00887632418645
ARE,United Arab Emirates,1984,0.585168421268463,24.542343220345,4.01713802979458,4.01713802979458,24.542343220345
ARE,United Arab Emirates,1985,0.725880712270737,24.0464601109631,-3.59486680248717,-3.59486680248717,24.0464601109631
ARE,United Arab Emirates,1986,0.879794001579285,21.2036615254686,-14.9577718663835,-12.8857220264723,21.2036615254686
ARE,United Arab Emirates,1987,0.983077526092529,11.739512241257,3.3814506515411,3.3814506515411,11.739512241257
ARE,United Arab Emirates,1988,1.08677706122398,10.5484595445521,-2.61905367759618,-2.61905367759618,10.5484595445521
ARE,United Arab Emirates,1989,1.22459375858307,12.6812298746781,12.3383708731222,12.3383708731222,12.6812298746781
ARE,United Arab Emirates,1990,1.24182975292206,1.4074867047283,18.3277228680875,18.1140150454712,1.4074867047283
ARE,United Arab Emirates,1991,1.51501482725143,21.9985930991398,0.860104327799482,0.860104327799482,21.9985930991398
ARE,United Arab Emirates,1992,1.46410441398621,-3.36039042981453,3.34528166209138,3.34528166209138,-3.36039042981453
ARE,United Arab Emirates,1993,1.52449327707291,4.12462816926316,1.26109792945746,1.26109792945746,4.12462816926316
ARE,United Arab Emirates,1994,1.67282688617706,9.73002710703739,6.89607573397617,6.89607573397617,9.73002710703739
ARE,United Arab Emirates,1995,1.74553561210632,4.34645847278452,6.68766930139517,6.68766930139517,4.34645847278452
ARE,United Arab Emirates,1996,1.79887652397156,3.05584781515105,5.79855087420307,5.79855087420307,3.05584781515105
ARE,United Arab Emirates,1997,1.87724304199219,4.35641451630111,8.19026264308869,8.19026264308869,4.35641451630111
ARE,United Arab Emirates,1998,1.92280638217926,2.42714124744974,0.292226494694026,0.292226494694026,2.42714124744974
ARE,United Arab Emirates,1999,1.93812829256058,0.796851441898783,2.90205341564513,2.90205341564513,0.796851441898783
ARE,United Arab Emirates,2000,1.92881488800049,-0.480536020027067,10.8528379273021,10.8528379273021,-0.480536020027067
ARE,United Arab Emirates,2001,1.94963769882452,1.07956501961757,1.3989216106105,1.3989216106105,1.07956501961757
ARE,United Arab Emirates,2002,2.13009532447904,9.25595692796299,2.43337487237938,2.43337487237938,9.25595692796299
ARE,United Arab Emirates,2003,2.27215912146494,6.66936335446109,8.80057809996342,8.80057809996342,6.66936335446109
ARE,United Arab Emirates,2004,2.43023536074907,6.95709370839357,9.56652626277925,9.56652626277925,6.95709370839357
ARE,United Arab Emirates,2005,2.53655307088047,4.37479068276896,4.85513657996837,4.85513657996837,4.37479068276896
ARE,United Arab Emirates,2006,2.66865466162562,5.2079174791047,9.83727922860185,9.83727922860185,5.2079174791047
ARE,United Arab Emirates,2007,2.94609984895214,10.3964439953993,3.18441281459767,3.18441281459767,10.3964439953993
ARE,United Arab Emirates,2008,3.3782418211922,14.6682731202666,3.19181235452906,3.19181235452906,14.6682731202666
ARE,United Arab Emirates,2009,3.33207099825086,-1.366711602814,-5.24292190736839,-5.24292190736839,-1.366711602814
ARE,United Arab Emirates,2010,3.50097020863905,5.06889590518487,1.60285004336336,1.60285004336336,5.06889590518487
ARE,United Arab Emirates,2011,3.67535281159508,4.98097934468908,6.73651167897495,6.73651167897495,4.98097934468908
ARE,United Arab Emirates,2012,3.86675920880225,5.20783737015182,4.68325642918801,4.68325642918801,5.20783737015182
ARE,United Arab Emirates,2013,4.07968077424448,5.50646042188345,4.91845059190832,4.91845059190832,5.50646042188345
ARE,United Arab Emirates,2014,4.07115778303705,-0.208913189022897,4.63291785879696,4.63291785879696,-0.208913189022897
ARE,United Arab Emirates,2015,4.42003956134431,8.56959609280965,7.08766622657648,7.08766622657648,8.56959609280965
ARE,United Arab Emirates,2016,4.59472491149791,3.95212186970713,5.6579014719659,5.6579014719659,3.95212186970713
ARE,United Arab Emirates,2017,4.37560040084645,-4.76904526108003,-1.06137114472568,-1.06137114472568,-4.76904526108003
ARE,United Arab Emirates,2018,4.14184678532183,-5.34220664847276,1.53720634021526,1.53720634021526,-5.34220664847276
ARE,United Arab Emirates,2019,4.38864162191749,5.95856991789903,1.27129120536282,1.27129120536282,5.95856991789903
ARE,United Arab Emirates,2020,4.3368326742202,-1.18052354602255,-8.69343363776631,-8.69343363776631,-1.18052354602255
ARE,United Arab Emirates,2021,4.4867339655757,3.45646933179049,4.55280140106351,4.55280140106351,3.45646933179049
ARE,United Arab Emirates,2022,4.88049864023924,8.77619840366488,7.51452414254599,7.51452414254599,8.77619840366488
ARE,United Arab Emirates,2023,5.13329722732306,5.17976964483744,4.30113648499406,4.30113648499406,5.17976964483744
ARG,Argentina,1966,1.22102913912386,3.24086436132938,-0.65972617062986,-0.65972617062986,3.24086436132938
ARG,Argentina,1967,1.25651610549539,2.90631609307863,3.19199662339171,3.19199662339171,2.90631609307863
ARG,Argentina,1968,1.29903998784721,3.38426878619675,4.82250077932429,4.82250077932429,3.38426878619675
ARG,Argentina,1969,1.3424784373492,3.34388855680865,9.67952601078339,9.67952601078339,3.34388855680865
ARG,Argentina,1970,1.27255149476696,-5.20879446826102,3.04564331917094,3.04564331917094,-5.20879446826102
ARG,Argentina,1971,1.34907008585287,6.01300547762331,5.65813108184929,5.65813108184929,6.01300547762331
ARG,Argentina,1972,1.36601256608265,1.25586360615666,1.62841651825965,1.62841651825965,1.25586360615666
ARG,Argentina,1973,1.42724794818787,4.48278322071591,2.81175403849003,2.81175403849003,4.48278322071591
ARG,Argentina,1974,1.48420035053277,3.9903649829881,5.53380439577387,5.53380439577387,3.9903649829881
ARG,Argentina,1975,1.44925634597894,-2.35439942736115,-0.0284121037110396,-0.0284121037110396,-2.35439942736115
ARG,Argentina,1976,1.52177023654804,5.00352410188116,-2.01825151683428,-2.01825151683428,5.00352410188116
ARG,Argentina,1977,1.58925005944911,4.43429771988102,6.93414775653365,6.93414775653365,4.43429771988102
ARG,Argentina,1978,1.59165729425149,0.151469857626485,-4.50612480201369,-4.50612480201369,0.151469857626485
ARG,Argentina,1979,1.70876146655064,7.35737352017232,10.2227634638682,10.2227634638682,7.35737352017232
ARG,Argentina,1980,1.69926919904537,-0.555505709315129,1.51878394990164,1.51878394990164,-0.555505709315129
ARG,Argentina,1981,1.64866859989706,-2.97778593154854,-5.18978914135588,-5.18978914135588,-2.97778593154854
ARG,Argentina,1982,1.67944599839393,1.86680321920292,-0.735659159103619,-0.735659159103619,1.86680321920292
