carrier,iso3,country,year,carrier_ej,carrier_growth_pct,carrier_growth_pct_w,share_lag,gdp_growth_pct_w
oil,ARE,United Arab Emirates,1971,0.00601390982046723,18.0093901123663,18.0093901123663,0.147371582054789,18.1140150454712
oil,ARE,United Arab Emirates,1972,0.00790254026651382,31.4043692444304,31.4043692444304,0.114122630867755,18.1140150454712
oil,ARE,United Arab Emirates,1973,0.0123322000727057,56.0536189225398,36.0684178913151,0.140263831858649,18.1140150454712
oil,ARE,United Arab Emirates,1974,0.017083840444684,38.5303542268574,36.0684178913151,0.168806603539006,14.4980412677651
oil,ARE,United Arab Emirates,1975,0.0276271495968103,61.7150996362008,36.0684178913151,0.212846039229106,6.22761090864785
oil,ARE,United Arab Emirates,1976,0.0405908487737179,46.9237665343668,36.0684178913151,0.321645556847705,16.5266792179265
oil,ARE,United Arab Emirates,1977,0.0600354000926018,47.9037810401098,36.0684178913151,0.37347292791429,18.1140150454712
oil,ARE,United Arab Emirates,1978,0.0662519186735153,10.3547549801032,10.3547549801032,0.336006364668766,-1.58961937418949
oil,ARE,United Arab Emirates,1979,0.0901813805103302,36.118896351874,36.0684178913151,0.320053058902451,18.1140150454712
oil,ARE,United Arab Emirates,1980,0.216671094298363,140.261452056107,36.0684178913151,0.370785101520998,18.1140150454712
oil,ARE,United Arab Emirates,1981,0.235371127724648,8.63060828987843,8.63060828987843,0.556475682953297,4.65936415296442
oil,ARE,United Arab Emirates,1982,0.260625541210175,10.7296140056189,10.7296140056189,0.519190948377517,-6.71914478677694
oil,ARE,United Arab Emirates,1983,0.261009991168976,0.147510469241086,0.147510469241086,0.532456583269713,-4.74606970328517
oil,ARE,United Arab Emirates,1984,0.298050433397293,14.1911970735011,14.1911970735011,0.555511793231104,4.01713802979458
oil,ARE,United Arab Emirates,1985,0.370668709278107,24.3644255279493,24.3644255279493,0.509341281183992,-3.59486680248717
oil,ARE,United Arab Emirates,1986,0.448415011167526,20.9746061492037,20.9746061492037,0.510646863888368,-12.8857220264723
oil,ARE,United Arab Emirates,1987,0.49097552895546,9.49132315555621,9.49132315555621,0.509681823657122,3.3814506515411
oil,ARE,United Arab Emirates,1988,0.589059054851532,19.9772738378108,19.9772738378108,0.499427070525105,-2.61905367759618
oil,ARE,United Arab Emirates,1989,0.618416786193848,4.98383499931345,4.98383499931345,0.542023820587549,12.3383708731222
oil,ARE,United Arab Emirates,1990,0.648288726806641,4.83038967888387,4.83038967888387,0.504997499668294,18.1140150454712
oil,ARE,United Arab Emirates,1991,0.800378799438477,23.4602371355439,23.4602371355439,0.522043158718979,0.860104327799482
oil,ARE,United Arab Emirates,1992,0.805979430675507,0.699747574643306,0.699747574643306,0.528297667482593,3.34528166209138
oil,ARE,United Arab Emirates,1993,0.835129261016846,3.61669655972585,3.61669655972585,0.550493136265553,1.26109792945746
oil,ARE,United Arab Emirates,1994,0.875705897808075,4.85872531179468,4.85872531179468,0.547807769031511,6.89607573397617
oil,ARE,United Arab Emirates,1995,0.875406622886658,-0.0341752775865012,-0.0341752775865012,0.523488655666779,6.68766930139517
oil,ARE,United Arab Emirates,1996,0.845911502838135,-3.36930510661008,-3.36930510661008,0.501511751931725,5.79855087420307
oil,ARE,United Arab Emirates,1997,0.8593430519104,1.58781965101564,1.58781965101564,0.470244339489479,8.19026264308869
oil,ARE,United Arab Emirates,1998,0.856117367744446,-0.37536629391296,-0.37536629391296,0.457768670698302,0.292226494694026
oil,ARE,United Arab Emirates,1999,0.835286319255829,-2.43320008137425,-2.43320008137425,0.445243668670448,2.90205341564513
oil,ARE,United Arab Emirates,2000,0.825621843338013,-1.15702552466398,-1.15702552466398,0.430975762782082,10.8528379273021
oil,ARE,United Arab Emirates,2001,0.815835654735565,-1.18531125132079,-1.18531125132079,0.428046179275346,1.3989216106105
oil,ARE,United Arab Emirates,2002,0.847103893756866,3.83266394889743,3.83266394889743,0.418455005885171,2.43337487237938
oil,ARE,United Arab Emirates,2003,0.937927067279816,10.7216097331524,10.7216097331524,0.397683560928919,8.80057809996342
oil,ARE,United Arab Emirates,2004,1.0136011838913,8.06823038287523,8.06823038287523,0.412791101828776,9.56652626277925
oil,ARE,United Arab Emirates,2005,1.05450928211212,4.03591657852802,4.03591657852802,0.417079432001548,4.85513657996837
oil,ARE,United Arab Emirates,2006,1.13492798805237,7.62617335896489,7.62617335896489,0.415725298326239,9.83727922860185
oil,ARE,United Arab Emirates,2007,1.21464741230011,7.02418348009435,7.02418348009435,0.425280949375826,3.18441281459767
oil,ARE,United Arab Emirates,2008,1.27687513828278,5.12311024191201,5.12311024191201,0.412289967949365,3.19181235452906
oil,ARE,United Arab Emirates,2009,1.24736964702606,-2.31075775321264,-2.31075775321264,0.377970318842408,-5.24292190736839
